index_no	uid	no_of_states	HH	HL	LH	LL	
68	1684	4	0.28	0.332	0.388	0	
69	1685	4	0.529	0.232	0.163	0.076	
70	1705	4	0	0.207	0.657	0.136	
71	1727	4	0.237	0.395	0.247	0.121	
72	1792	4	0.324	0.273	0.3	0.103	
73	1796	4	0.292	0.287	0.332	0.089	
74	1844	4	0.312	0.297	0.31	0.081	
75	1925	4	0.37	0.338	0.214	0.078	
76	1953	4	0.132	0.207	0.375	0.286	
77	1982	4	0.332	0.25	0.309	0.109	
78	2002	4	0.205	0.272	0.207	0.316	
79	2005	4	0.233	0.213	0.327	0.227	
80	2062	4	0.258	0.391	0.245	0.106	
81	2083	4	0.307	0.284	0.31	0.099	
82	2116	4	0.011	0.295	0.298	0.396	
83	2119	4	0.347	0.349	0.239	0.065	
84	2131	4	0	0.437	0.473	0.09	
85	2133	4	0.23	0.213	0.468	0.089	
86	2156	4	0.096	0.195	0.517	0.192	
87	2157	4	0	0.371	0.534	0.095	
88	2159	4	0	0.565	0.309	0.126	
89	2176	4	0.167	0.303	0.446	0.084	
90	2201	4	0.103	0.311	0.493	0.093	
91	2209	4	0.102	0.487	0.245	0.166	
92	2239	4	0.129	0.065	0.62	0.186	
93	2275	4	0.22	0.414	0.224	0.142	
94	2278	4	0.395	0.214	0.318	0.073	
95	2279	4	0.224	0.326	0.336	0.114	
96	2299	4	0.234	0.302	0.464	0	
97	2327	4	0.229	0.355	0.416	0	
98	2361	4	0.273	0.286	0.354	0.087	
99	2385	4	0.201	0.346	0.339	0.114	
100	2395	4	0.18	0.388	0.319	0.113	
101	2452	4	0.124	0.419	0.282	0.175	
102	2465	4	0.344	0.367	0.22	0.069	
103	2576	4	0	0.392	0.426	0.182	
104	2626	4	0.37	0.228	0.299	0.103	
105	2630	4	0.073	0.59	0.137	0.2	
106	2703	4	0.368	0.41	0.222	0	
107	2725	4	0.274	0.279	0.343	0.104	
108	2732	4	0.072	0.544	0.173	0.211	
109	2744	4	0.452	0.222	0.253	0.073	
110	2767	4	0.214	0.407	0.293	0.086	
111	2795	4	0.37	0.279	0.252	0.099	
112	2797	4	0.362	0.273	0.264	0.101	
113	2805	4	0.354	0.23	0.324	0.092	
114	2859	4	0.226	0.413	0.361	0	
115	2879	4	0	0.566	0.32	0.114	
116	2909	4	0.353	0.268	0.316	0.063	
117	2911	4	0	0.71	0.211	0.079	
118	2918	4	0.265	0.56	0.175	0	
119	2966	4	0.104	0.442	0.454	0	
120	2996	4	0.329	0.19	0.379	0.102	
121	3021	4	0.088	0.668	0.244	0	
122	3027	4	0.122	0.247	0.224	0.407	
123	3053	4	0.223	0.37	0.309	0.098	
124	3062	4	0.013	0.333	0.372	0.282	
125	3070	4	0.286	0.294	0.352	0.068	
126	3074	4	0.049	0.52	0.383	0.048	
127	3094	4	0.153	0.349	0.498	0	
128	3174	4	0	0.644	0.266	0.09	
129	3176	4	0.054	0.244	0.537	0.165	
130	3203	4	0.257	0.337	0.335	0.071	
131	3216	4	0	0.618	0.21	0.172	
132	3240	4	0	0.528	0.386	0.086	
133	3270	4	0	0.282	0.671	0.047	
134	3304	4	0.276	0.32	0.404	0	
135	3317	4	0	0.134	0.717	0.149	
136	3342	4	0	0.295	0.275	0.43	
137	3361	4	0.449	0.201	0.259	0.091	
138	3362	4	0.269	0.287	0.352	0.092	
139	3387	4	0	0.531	0.383	0.086	
140	3407	4	0.178	0.329	0.386	0.107	
141	3491	4	0.352	0.196	0.338	0.114	
142	3495	4	0.276	0.377	0.267	0.08	
143	3503	4	0.328	0.425	0.247	0	
144	3507	4	0.217	0.417	0.212	0.154	
145	3520	4	0.14	0.424	0.232	0.204	
146	3529	4	0	0	0.207	0.793	
147	3551	4	0.159	0.51	0.182	0.149	
148	3616	4	0.327	0.236	0.35	0.087	
149	3626	4	0.197	0.311	0.43	0.062	
150	3651	4	0	0.094	0.576	0.33	
151	3653	4	0.349	0.255	0.326	0.07	
152	3683	4	0	0.258	0.646	0.096	
153	3707	4	0.207	0.404	0.389	0	
154	3744	4	0.42	0.279	0.208	0.093	
155	3772	4	0.235	0.226	0.44	0.099	
156	3803	4	0.216	0.316	0.468	0	
157	3817	4	0	0.605	0.292	0.103	
158	3880	4	0.145	0.277	0.494	0.084	
159	3893	4	0	0.222	0.464	0.314	
160	3914	4	0.184	0.423	0.393	0	
161	3922	4	0	0.307	0.693	0	
162	3923	4	0.214	0.296	0.409	0.081	
163	3926	4	0.187	0.292	0.395	0.126	
164	3989	4	0.018	0.302	0.189	0.491	
165	4006	4	0.353	0.247	0.299	0.101	
166	4044	4	0	0.194	0.451	0.355	
167	4082	4	0	0.322	0.552	0.126	
168	4086	4	0.379	0.283	0.248	0.09	
169	4159	4	0.163	0.424	0.236	0.177	
170	4215	4	0.229	0.284	0.384	0.103	
171	4266	4	0.142	0.236	0.428	0.194	
172	4286	4	0.262	0.408	0.183	0.147	
173	4289	4	0.267	0.327	0.294	0.112	
174	4296	4	0.053	0.6	0.347	0	
175	4331	4	0.104	0.16	0.574	0.162	
176	4352	4	0	0.643	0.168	0.189	
177	4373	4	0.346	0.43	0.224	0	
178	4390	4	0.427	0.192	0.307	0.074	
179	4417	4	0.191	0.396	0.413	0	
180	4424	4	0.118	0.546	0.151	0.185	
181	4430	4	0	0.254	0.521	0.225	
182	4509	4	0.131	0.538	0.192	0.139	
183	4577	4	0	0.156	0.67	0.174	
184	4601	4	0.164	0.554	0.282	0	
185	4632	4	0	0.174	0.332	0.494	
186	4661	4	0.108	0.413	0.479	0	
187	4662	4	0.47	0.305	0.225	0	
188	4679	4	0.059	0.429	0.305	0.207	
189	4731	4	0.067	0.235	0.533	0.165	
190	4752	4	0.113	0.441	0.264	0.182	
191	4754	4	0.169	0.209	0.423	0.199	
192	4762	4	0	0.338	0.573	0.089	
193	4788	4	0	0.584	0.314	0.102	
194	4800	4	0.182	0.181	0.481	0.156	
195	4832	4	0	0.331	0.543	0.126	
196	4842	4	0.421	0.305	0.195	0.079	
197	4870	4	0	0.489	0.404	0.107	
198	4873	4	0	0.569	0.271	0.16	
199	4890	4	0	0.147	0.507	0.346	
200	4894	4	0.299	0.273	0.313	0.115	
201	4932	4	0	0.711	0.218	0.071	
202	4976	4	0.292	0.48	0.113	0.115	
203	4992	4	0.118	0.501	0.194	0.187	
204	4993	4	0.619	0.381	0	0	
205	5010	4	0.475	0.279	0.183	0.063	
206	5013	4	0.066	0.262	0.332	0.34	
207	5060	4	0.226	0.413	0.2	0.161	
208	5061	4	0.2	0.246	0.371	0.183	
209	5065	4	0.608	0.392	0	0	
210	5103	4	0.213	0.448	0.241	0.098	
211	5109	4	0	0	0.342	0.658	
212	5127	4	0.281	0.258	0.343	0.118	
213	5137	4	0.45	0.207	0.343	0	
214	5177	4	0.248	0.446	0.306	0	
215	5230	4	0.382	0.259	0.28	0.079	
216	5254	4	0	0.285	0.455	0.26	
217	5284	4	0.03	0.18	0.293	0.497	
218	5307	4	0.29	0.219	0.418	0.073	
219	5355	4	0.266	0.342	0.302	0.09	
220	5379	4	0.318	0.136	0.377	0.169	
221	5387	4	0.235	0.367	0.282	0.116	
222	5395	4	0.281	0.347	0.172	0.2	
223	5406	4	0.141	0.475	0.384	0	
224	5420	4	0.308	0.299	0.273	0.12	
225	5448	4	0.316	0.28	0.329	0.075	
226	5509	4	0.207	0.389	0.321	0.083	
227	5539	4	0	0.468	0.428	0.104	
228	5554	4	0.08	0.268	0.3	0.352	
229	5572	4	0.201	0.341	0.458	0	
230	5591	4	0.228	0.162	0.373	0.237	
231	5620	4	0	0.615	0.288	0.097	
232	5651	4	0.324	0.344	0.26	0.072	
233	5661	4	0.109	0.43	0.366	0.095	
234	5685	4	0.106	0.174	0.548	0.172	
235	5686	4	0.061	0.108	0.6	0.231	
236	5723	4	0	0.493	0.312	0.195	
237	5742	4	0	0.465	0.535	0	
238	5797	4	0.316	0.25	0.338	0.096	
239	5894	4	0.118	0.352	0.311	0.219	
240	5910	4	0.094	0.148	0.581	0.177	
241	5925	4	0.256	0.229	0.423	0.092	
242	5951	4	0.237	0.25	0.42	0.093	
243	5954	4	0.201	0.419	0.199	0.181	
244	5980	4	0.201	0.451	0.21	0.138	
245	6006	4	0.242	0.339	0.308	0.111	
246	6022	4	0.17	0.439	0.291	0.1	
247	6074	4	0.378	0.273	0.292	0.057	
248	6101	4	0	0.378	0.556	0.066	
249	6107	4	0.128	0.37	0.26	0.242	
250	6108	4	0	0.302	0.576	0.122	
251	6136	4	0.208	0.226	0.458	0.108	
252	6243	4	0.141	0.366	0.386	0.107	
253	6247	4	0.38	0.23	0.308	0.082	
254	6253	4	0	0.665	0.335	0	
255	6263	4	0.091	0.448	0.461	0	
256	6289	4	0.217	0.234	0.455	0.094	
257	6302	4	0	0.337	0.322	0.341	
258	6305	4	0.389	0.159	0.376	0.076	
259	6334	4	0.224	0.367	0.409	0	
260	6347	4	0.234	0.323	0.253	0.19	
261	6389	4	0.182	0.43	0.264	0.124	
262	6413	4	0.303	0.395	0.122	0.18	
263	6424	4	0.182	0.379	0.439	0	
264	6440	4	0.104	0.248	0.265	0.383	
265	6471	4	0	0.292	0.583	0.125	
266	6490	4	0.087	0.33	0.478	0.105	
267	6519	4	0.131	0.292	0.241	0.336	
268	6582	4	0.123	0.513	0.208	0.156	
269	6633	4	0.148	0.179	0.527	0.146	
270	6645	4	0.089	0.227	0.517	0.167	
271	6660	4	0.121	0.291	0.234	0.354	
272	6673	4	0.08	0.247	0.6	0.073	
273	6716	4	0.381	0.274	0.279	0.066	
274	6766	4	0.311	0.335	0.267	0.087	
275	6793	4	0.226	0.336	0.337	0.101	
276	6796	4	0.165	0.47	0.256	0.109	
277	6818	4	0	0.177	0.749	0.074	
278	6822	4	0.312	0.324	0.266	0.098	
279	6872	4	0.279	0.409	0.312	0	
280	6901	4	0	0.683	0.148	0.169	
281	6945	4	0	0.433	0.423	0.144	
282	6956	4	0.278	0.397	0.235	0.09	
283	6957	4	0.434	0.236	0.248	0.082	
284	6993	4	0	0.411	0.396	0.193	
285	7050	4	0.497	0.192	0.234	0.077	
286	7081	4	0.175	0.269	0.458	0.098	
287	7093	4	0.268	0.406	0.145	0.181	
288	7111	4	0.086	0.4	0.421	0.093	
289	7155	4	0.22	0.4	0.209	0.171	
290	7166	4	0.349	0.211	0.347	0.093	
291	7190	4	0.357	0.643	0	0	
292	7203	4	0.357	0.206	0.34	0.097	
293	7215	4	0.348	0.337	0.233	0.082	
294	7225	4	0.159	0.478	0.296	0.067	
295	7227	4	0.041	0.479	0.313	0.167	
296	7239	4	0.026	0.224	0.664	0.086	
297	7244	4	0.192	0.357	0.33	0.121	
298	7327	4	0.403	0.232	0.297	0.068	
299	7337	4	0.154	0.497	0.349	0	
300	7365	4	0.179	0.526	0.163	0.132	
301	7369	4	0.165	0.28	0.232	0.323	
302	7379	4	0.007	0.391	0.435	0.167	
303	7392	4	0.105	0.434	0.226	0.235	
304	7412	4	0	0	0.664	0.336	
305	7414	4	0.253	0.371	0.273	0.103	
306	7429	4	0	0.34	0.596	0.064	
307	7492	4	0.161	0.388	0.451	0	
308	7494	4	0.135	0.444	0.213	0.208	
309	7516	4	0	0	0.626	0.374	
310	7536	4	0.178	0.448	0.374	0	
311	7543	4	0.024	0.289	0.376	0.311	
312	7547	4	0.145	0.273	0.35	0.232	
313	7558	4	0.356	0.357	0.196	0.091	
314	7575	4	0.121	0.532	0.19	0.157	
315	7586	4	0.258	0.468	0.274	0	
316	7612	4	0	0.399	0.601	0	
317	7613	4	0	0.603	0.245	0.152	
318	7626	4	0.508	0.175	0.244	0.073	
319	7633	4	0	0.087	0.59	0.323	
320	7647	4	0.259	0.429	0.231	0.081	
321	7705	4	0	0.692	0.308	0	
322	7761	4	0.308	0.554	0.138	0	
323	7771	4	0.231	0.258	0.412	0.099	
324	7780	4	0.407	0.259	0.255	0.079	
325	7803	4	0.339	0.273	0.388	0	
326	7829	4	0	0.558	0.35	0.092	
327	7841	4	0	0.306	0.259	0.435	
328	7845	4	0.288	0.238	0.398	0.076	
329	7851	4	0	0.544	0.362	0.094	
330	7866	4	0.328	0.31	0.267	0.095	
331	7888	4	0.288	0.271	0.367	0.074	
332	7907	4	0.213	0.423	0.364	0	
333	7909	4	0.044	0.384	0.141	0.431	
334	7913	4	0	0.636	0.312	0.052	
335	7930	4	0.131	0.206	0.515	0.148	
336	8077	4	0.3	0.232	0.468	0	
337	8101	4	0	0.542	0.327	0.131	
338	8110	4	0.086	0.434	0.268	0.212	
339	8234	4	0.311	0.113	0.415	0.161	
340	8240	4	0	0	0.464	0.536	
341	8243	4	0.685	0.315	0	0	
342	8256	4	0	0.381	0.523	0.096	
343	8262	4	0.1	0.452	0.448	0	
344	8264	4	0.117	0.562	0.202	0.119	
345	8288	4	0.125	0.201	0.525	0.149	
346	8295	4	0	0.608	0.194	0.198	
347	8336	4	0.046	0.466	0.349	0.139	
348	8337	4	0.211	0.339	0.341	0.109	
349	8348	4	0	0.344	0.54	0.116	
350	8364	4	0	0.613	0.288	0.099	
351	8379	4	0.028	0.3	0.339	0.333	
352	8388	4	0.188	0.222	0.396	0.194	
353	8426	4	0.152	0.432	0.287	0.129	
354	8434	4	0	0.674	0.255	0.071	
355	8463	4	0.283	0.282	0.337	0.098	
356	8468	4	0.3	0.337	0.28	0.083	
357	8493	4	0.254	0.294	0.34	0.112	
358	8502	4	0.223	0.354	0.423	0	
359	8532	4	0.171	0.36	0.38	0.089	
360	8620	4	0	0.513	0.331	0.156	
361	8671	4	0.221	0.521	0.258	0	
362	8673	4	0.095	0.613	0.162	0.13	
363	8682	4	0.322	0.24	0.438	0	
364	8692	4	0.383	0.263	0.283	0.071	
365	8710	4	0.097	0.175	0.533	0.195	
366	8739	4	0.082	0.414	0.351	0.153	
367	8829	4	0	0	0.456	0.544	
368	8843	4	0.149	0.295	0.361	0.195	
369	8915	4	0.066	0.702	0.232	0	
370	9015	4	0.054	0.288	0.33	0.328	
371	9025	4	0.262	0.35	0.278	0.11	
372	9049	4	0.077	0.52	0.201	0.202	
373	9075	4	0	0.702	0.159	0.139	
374	9077	4	0	0.152	0.689	0.159	
375	9129	4	0.289	0.409	0.225	0.077	
376	9137	4	0	0.695	0.14	0.165	
377	9142	4	0.381	0.314	0.266	0.039	
378	9153	4	0.13	0.445	0.33	0.095	
379	9218	4	0.293	0.707	0	0	
380	9241	4	0.127	0.58	0.208	0.085	
381	9308	4	0	0.63	0.209	0.161	
382	9317	4	0.231	0.459	0.223	0.087	
383	9334	4	0.144	0.632	0.224	0	
384	9336	4	0	0.592	0.328	0.08	
385	9338	4	0	0.692	0.203	0.105	
386	9454	4	0.092	0.185	0.564	0.159	
387	9455	4	0	0.504	0.406	0.09	
388	9462	4	0.195	0.409	0.19	0.206	
389	9476	4	0.182	0.262	0.441	0.115	
390	9489	4	0.362	0.24	0.312	0.086	
391	9526	4	0.223	0.438	0.146	0.193	
392	9530	4	0.271	0.177	0.466	0.086	
393	9533	4	0	0.696	0.164	0.14	
394	9539	4	0	0.622	0.297	0.081	
395	9574	4	0	0.308	0.261	0.431	
396	9578	4	0.157	0.423	0.326	0.094	
397	9586	4	0.157	0.392	0.276	0.175	
398	9610	4	0.233	0.364	0.403	0	
399	9623	4	0.098	0.222	0.323	0.357	
400	9641	4	0	0.39	0.403	0.207	
401	9642	4	0.05	0.339	0.302	0.309	
402	9691	4	0.168	0.445	0.22	0.167	
403	9694	4	0.392	0.255	0.353	0	
404	9698	4	0.212	0.269	0.397	0.122	
405	9708	4	0.314	0.424	0.199	0.063	
406	9711	4	0	0.136	0.713	0.151	
407	9810	4	0.204	0.545	0.178	0.073	
408	9825	4	0.162	0.234	0.445	0.159	
409	9850	4	0.308	0.225	0.402	0.065	
410	9920	4	0.35	0.39	0.184	0.076	
411	9940	4	0.297	0.265	0.354	0.084	
412	9947	4	0.246	0.293	0.379	0.082	
413	9991	4	0.165	0.256	0.394	0.185	
