bifurcation_parameter	HH	HL	LH	LL	
0.1097	1000	0	0.086	0.914	0	
0.1098	1000	0	0.076	0.924	0	
0.1099	1000	0	0.082	0.918	0	
0.11	1000	0	0.085	0.915	0	
0.1101	1000	0	0.094	0.906	0	
0.1102	1000	0	0.098	0.902	0	
0.1103	1000	0	0.084	0.916	0	
0.1104	1000	0	0.103	0.897	0	
0.1105	1000	0	0.077	0.923	0	
0.1106	1000	0	0.082	0.918	0	
0.1107	1000	0	0.083	0.917	0	
0.1108	1000	0	0.083	0.917	0	
0.1109	1000	0	0.102	0.898	0	
0.111	1000	0	0.101	0.899	0	
0.1111	1000	0	0.08	0.92	0	
0.1112	1000	0	0.086	0.914	0	
0.1113	1000	0	0.077	0.923	0	
0.1114	1000	0	0.085	0.915	0	
0.1115	1000	0	0.1	0.9	0	
0.1116	1000	0	0.091	0.909	0	
0.1117	1000	0	0.105	0.895	0	
0.1118	1000	0	0.073	0.927	0	
0.1119	1000	0	0.087	0.913	0	
0.112	1000	0	0.078	0.922	0	
0.1121	1000	0	0.084	0.916	0	
0.1122	1000	0	0.103	0.897	0	
0.1123	1000	0	0.107	0.893	0	
0.1124	1000	0	0.092	0.908	0	
0.1125	1000	0	0.085	0.915	0	
0.1126	1000	0	0.088	0.912	0	
0.1127	1000	0	0.097	0.903	0	
0.1128	1000	0	0.104	0.896	0	
0.1129	1000	0	0.101	0.899	0	
0.113	1000	0	0.093	0.907	0	
0.1131	1000	0	0.085	0.915	0	
0.1132	1000	0	0.082	0.918	0	
0.1133	1000	0	0.094	0.906	0	
0.1134	1000	0	0.103	0.897	0	
0.1135	1000	0	0.073	0.927	0	
0.1136	1000	0	0.088	0.912	0	
0.1137	1000	0	0.077	0.923	0	
0.1138	1000	0	0.081	0.919	0	
0.1139	1000	0	0.101	0.899	0	
0.114	1000	0	0.114	0.886	0	
0.1141	1000	0	0.1	0.9	0	
0.1142	1000	0	0.1	0.9	0	
0.1143	1000	0	0.103	0.897	0	
0.1144	1000	0	0.094	0.906	0	
0.1145	1000	0	0.099	0.901	0	
0.1146	1000	0	0.099	0.901	0	
0.1147	1000	0	0.104	0.896	0	
0.1148	1000	0	0.099	0.901	0	
0.1149	1000	0	0.098	0.902	0	
0.115	1000	0	0.09	0.91	0	
0.1151	1000	0	0.105	0.895	0	
0.1152	1000	0	0.088	0.912	0	
0.1153	1000	0	0.109	0.891	0	
0.1154	1000	0	0.074	0.926	0	
0.1155	1000	0	0.094	0.906	0	
0.1156	1000	0	0.105	0.895	0	
0.1157	1000	0	0.088	0.912	0	
0.1158	1000	0	0.093	0.907	0	
0.1159	1000	0	0.095	0.905	0	
0.116	1000	0	0.096	0.904	0	
0.1161	1000	0	0.104	0.896	0	
0.1162	1000	0	0.093	0.907	0	
0.1163	1000	0	0.105	0.895	0	
0.1164	1000	0	0.115	0.885	0	
0.1165	1000	0	0.09	0.91	0	
0.1166	1000	0	0.098	0.902	0	
0.1167	1000	0	0.097	0.903	0	
0.1168	1000	0	0.104	0.896	0	
0.1169	1000	0	0.094	0.906	0	
0.117	1000	0	0.091	0.909	0	
0.1171	1000	0	0.106	0.894	0	
0.1172	1000	0	0.081	0.919	0	
0.1173	1000	0	0.082	0.918	0	
0.1174	1000	0	0.085	0.915	0	
0.1175	1000	0	0.091	0.909	0	
0.1176	1000	0	0.088	0.912	0	
0.1177	1000	0	0.095	0.905	0	
0.1178	1000	0	0.103	0.897	0	
0.1179	1000	0	0.089	0.911	0	
0.118	1000	0	0.094	0.906	0	
0.1181	1000	0	0.097	0.903	0	
0.1182	1000	0	0.085	0.915	0	
0.1183	1000	0	0.107	0.893	0	
0.1184	1000	0	0.102	0.898	0	
0.1185	1000	0	0.107	0.893	0	
0.1186	1000	0	0.102	0.898	0	
0.1187	1000	0	0.103	0.897	0	
0.1188	1000	0	0.094	0.906	0	
0.1189	1000	0	0.104	0.896	0	
0.119	1000	0	0.106	0.894	0	
0.1191	1000	0	0.087	0.913	0	
0.1192	1000	0	0.098	0.902	0	
0.1193	1000	0	0.092	0.908	0	
0.1194	1000	0	0.093	0.907	0	
0.1195	1000	0	0.089	0.911	0	
0.1196	1000	0	0.109	0.891	0	
0.1197	1000	0	0.101	0.899	0	
0.1198	1000	0	0.093	0.907	0	
0.1199	1000	0	0.107	0.893	0	
0.12	1000	0	0.108	0.892	0	
0.1201	1000	0	0.09	0.91	0	
0.1202	1000	0	0.114	0.886	0	
0.1203	1000	0	0.101	0.899	0	
0.1204	1000	0	0.09	0.91	0	
0.1205	1000	0	0.099	0.901	0	
0.1206	1000	0	0.114	0.886	0	
0.1207	1000	0	0.082	0.918	0	
0.1208	1000	0	0.098	0.902	0	
0.1209	1000	0	0.109	0.891	0	
0.121	1000	0	0.097	0.903	0	
0.1211	1000	0	0.103	0.897	0	
0.1212	1000	0	0.108	0.892	0	
0.1213	1000	0	0.095	0.905	0	
0.1214	1000	0	0.098	0.902	0	
0.1215	1000	0	0.115	0.885	0	
0.1216	1000	0	0.089	0.911	0	
0.1217	1000	0	0.108	0.892	0	
0.1218	1000	0	0.101	0.899	0	
0.1219	1000	0	0.098	0.902	0	
0.122	1000	0	0.084	0.916	0	
0.1221	1000	0	0.091	0.909	0	
0.1222	1000	0	0.113	0.887	0	
0.1223	1000	0	0.094	0.906	0	
0.1224	1000	0	0.095	0.905	0	
0.1225	1000	0	0.114	0.886	0	
0.1226	1000	0	0.087	0.913	0	
0.1227	1000	0	0.109	0.891	0	
0.1228	1000	0	0.091	0.909	0	
0.1229	1000	0	0.104	0.896	0	
0.123	1000	0	0.085	0.915	0	
0.1231	1000	0	0.092	0.908	0	
0.1232	1000	0	0.091	0.909	0	
0.1233	1000	0	0.107	0.893	0	
0.1234	1000	0	0.095	0.905	0	
0.1235	1000	0	0.106	0.894	0	
0.1236	1000	0	0.092	0.908	0	
0.1237	1000	0	0.104	0.896	0	
0.1238	1000	0	0.103	0.897	0	
0.1239	1000	0	0.09	0.91	0	
0.124	1000	0	0.108	0.892	0	
0.1241	1000	0	0.114	0.886	0	
0.1242	1000	0	0.088	0.912	0	
0.1243	1000	0	0.113	0.887	0	
0.1244	1000	0	0.092	0.908	0	
0.1245	1000	0	0.093	0.907	0	
0.1246	1000	0	0.082	0.918	0	
0.1247	1000	0	0.118	0.882	0	
0.1248	1000	0	0.097	0.903	0	
0.1249	1000	0	0.108	0.892	0	
0.125	1000	0	0.094	0.906	0	
0.1251	1000	0	0.111	0.889	0	
0.1252	1000	0	0.113	0.887	0	
0.1253	1000	0	0.106	0.894	0	
0.1254	1000	0	0.112	0.888	0	
0.1255	1000	0	0.075	0.925	0	
0.1256	1000	0	0.101	0.899	0	
0.1257	1000	0	0.097	0.903	0	
0.1258	1000	0	0.103	0.897	0	
0.1259	1000	0	0.102	0.898	0	
0.126	1000	0	0.108	0.892	0	
0.1261	1000	0	0.115	0.885	0	
0.1262	1000	0	0.101	0.899	0	
0.1263	1000	0	0.097	0.903	0	
0.1264	1000	0	0.114	0.886	0	
0.1265	1000	0	0.111	0.889	0	
0.1266	1000	0	0.098	0.902	0	
0.1267	1000	0	0.109	0.891	0	
0.1268	1000	0	0.124	0.876	0	
0.1269	1000	0	0.088	0.912	0	
0.127	1000	0	0.102	0.898	0	
0.1271	1000	0	0.092	0.908	0	
0.1272	1000	0	0.095	0.905	0	
0.1273	1000	0	0.092	0.908	0	
0.1274	1000	0	0.093	0.907	0	
0.1275	1000	0	0.111	0.889	0	
0.1276	1000	0	0.097	0.903	0	
0.1277	1000	0	0.102	0.898	0	
0.1278	1000	0	0.114	0.886	0	
0.1279	1000	0	0.093	0.907	0	
0.128	1000	0	0.108	0.892	0	
0.1281	1000	0	0.101	0.899	0	
0.1282	1000	0	0.106	0.894	0	
0.1283	1000	0	0.094	0.906	0	
0.1284	1000	0	0.111	0.889	0	
0.1285	1000	0	0.108	0.892	0	
0.1286	1000	0	0.104	0.896	0	
0.1287	1000	0	0.104	0.896	0	
0.1288	1000	0	0.114	0.886	0	
0.1289	1000	0	0.096	0.904	0	
0.129	1000	0	0.098	0.902	0	
0.1291	1000	0	0.091	0.909	0	
0.1292	1000	0	0.121	0.879	0	
0.1293	1000	0	0.09	0.91	0	
0.1294	1000	0	0.114	0.886	0	
0.1295	1000	0	0.095	0.905	0	
0.1296	1000	0	0.099	0.901	0	
0.1297	1000	0	0.087	0.913	0	
0.1298	1000	0	0.107	0.893	0	
0.1299	1000	0	0.093	0.907	0	
0.13	1000	0	0.119	0.881	0	
0.1301	1000	0	0.086	0.914	0	
0.1302	1000	0	0.11	0.89	0	
0.1303	1000	0	0.111	0.889	0	
0.1304	1000	0	0.113	0.887	0	
0.1305	1000	0	0.098	0.902	0	
0.1306	1000	0	0.103	0.897	0	
0.1307	1000	0	0.087	0.913	0	
0.1308	1000	0	0.09	0.91	0	
0.1309	1000	0	0.108	0.892	0	
0.131	1000	0	0.127	0.873	0	
0.1311	1000	0	0.097	0.903	0	
0.1312	1000	0	0.109	0.891	0	
0.1313	1000	0	0.104	0.896	0	
0.1314	1000	0	0.117	0.883	0	
0.1315	1000	0	0.1	0.9	0	
0.1316	1000	0	0.109	0.891	0	
0.1317	1000	0	0.1	0.9	0	
0.1318	1000	0	0.11	0.89	0	
0.1319	1000	0	0.109	0.891	0	
0.132	1000	0	0.1	0.9	0	
0.1321	1000	0	0.108	0.892	0	
0.1322	1000	0	0.11	0.89	0	
0.1323	1000	0	0.107	0.893	0	
0.1324	1000	0	0.083	0.917	0	
0.1325	1000	0	0.113	0.887	0	
0.1326	1000	0	0.1	0.9	0	
0.1327	1000	0	0.12	0.88	0	
0.1328	1000	0	0.116	0.884	0	
0.1329	1000	0	0.108	0.892	0	
0.133	1000	0	0.1	0.9	0	
0.1331	1000	0	0.11	0.89	0	
0.1332	1000	0	0.104	0.896	0	
0.1333	1000	0	0.108	0.892	0	
0.1334	1000	0	0.117	0.883	0	
0.1335	1000	0	0.109	0.891	0	
0.1336	1000	0	0.108	0.892	0	
0.1337	1000	0	0.12	0.88	0	
0.1338	1000	0	0.123	0.877	0	
0.1339	1000	0	0.097	0.903	0	
0.134	1000	0	0.105	0.895	0	
0.1341	1000	0	0.101	0.899	0	
0.1342	1000	0	0.094	0.906	0	
0.1343	1000	0	0.103	0.897	0	
0.1344	1000	0	0.108	0.892	0	
0.1345	1000	0	0.1	0.9	0	
0.1346	1000	0	0.114	0.886	0	
0.1347	1000	0	0.122	0.878	0	
0.1348	1000	0	0.106	0.894	0	
0.1349	1000	0	0.098	0.902	0	
0.135	1000	0	0.096	0.904	0	
0.1351	1000	0	0.111	0.889	0	
0.1352	1000	0	0.112	0.888	0	
0.1353	1000	0	0.09	0.91	0	
0.1354	1000	0	0.083	0.917	0	
0.1355	1000	0	0.091	0.909	0	
0.1356	1000	0	0.102	0.898	0	
0.1357	1000	0	0.088	0.912	0	
0.1358	1000	0	0.099	0.901	0	
0.1359	1000	0	0.11	0.89	0	
0.136	1000	0	0.118	0.882	0	
0.1361	1000	0	0.123	0.877	0	
0.1362	1000	0	0.096	0.904	0	
0.1363	1000	0	0.127	0.873	0	
0.1364	1000	0	0.114	0.886	0	
0.1365	1000	0	0.111	0.889	0	
0.1366	1000	0	0.11	0.89	0	
0.1367	1000	0	0.113	0.887	0	
0.1368	1000	0	0.094	0.906	0	
0.1369	1000	0	0.105	0.895	0	
0.137	1000	0	0.111	0.889	0	
0.1371	1000	0	0.111	0.889	0	
0.1372	1000	0	0.105	0.895	0	
0.1373	1000	0	0.1	0.9	0	
0.1374	1000	0	0.111	0.889	0	
0.1375	1000	0	0.101	0.899	0	
0.1376	1000	0	0.116	0.884	0	
0.1377	1000	0	0.107	0.893	0	
0.1378	1000	0	0.114	0.886	0	
0.1379	1000	0	0.11	0.89	0	
0.138	1000	0	0.118	0.882	0	
0.1381	1000	0	0.101	0.899	0	
0.1382	1000	0	0.109	0.891	0	
0.1383	1000	0	0.097	0.903	0	
0.1384	1000	0	0.102	0.898	0	
0.1385	1000	0	0.125	0.875	0	
0.1386	1000	0	0.113	0.887	0	
0.1387	1000	0	0.109	0.891	0	
0.1388	1000	0	0.109	0.891	0	
0.1389	1000	0	0.106	0.894	0	
0.139	1000	0	0.112	0.888	0	
0.1391	1000	0	0.12	0.88	0	
0.1392	1000	0	0.113	0.887	0	
0.1393	1000	0	0.095	0.905	0	
0.1394	1000	0	0.108	0.892	0	
0.1395	1000	0	0.104	0.896	0	
0.1396	1000	0	0.132	0.868	0	
0.1397	1000	0	0.102	0.898	0	
0.1398	1000	0	0.094	0.906	0	
0.1399	1000	0	0.105	0.895	0	
0.14	1000	0	0.1	0.9	0	
0.1401	1000	0	0.106	0.894	0	
0.1402	1000	0	0.108	0.892	0	
0.1403	1000	0	0.108	0.892	0	
0.1404	1000	0	0.105	0.895	0	
0.1405	1000	0	0.114	0.886	0	
0.1406	1000	0	0.108	0.892	0	
0.1407	1000	0	0.109	0.891	0	
0.1408	1000	0	0.101	0.899	0	
0.1409	1000	0	0.129	0.871	0	
0.141	1000	0	0.113	0.887	0	
0.1411	1000	0	0.109	0.891	0	
0.1412	1000	0	0.117	0.883	0	
0.1413	1000	0	0.13	0.87	0	
0.1414	1000	0	0.093	0.907	0	
0.1415	1000	0	0.111	0.889	0	
0.1416	1000	0	0.096	0.904	0	
0.1417	1000	0	0.109	0.891	0	
0.1418	1000	0	0.101	0.899	0	
0.1419	1000	0	0.096	0.904	0	
0.142	1000	0	0.111	0.889	0	
0.1421	1000	0	0.102	0.898	0	
0.1422	1000	0	0.103	0.897	0	
0.1423	1000	0	0.096	0.904	0	
0.1424	1000	0	0.111	0.889	0	
0.1425	1000	0	0.092	0.908	0	
0.1426	1000	0	0.1	0.9	0	
0.1427	1000	0	0.1	0.9	0	
0.1428	1000	0	0.097	0.903	0	
0.1429	1000	0	0.117	0.883	0	
0.143	1000	0	0.102	0.898	0	
0.1431	1000	0	0.124	0.876	0	
0.1432	1000	0	0.106	0.894	0	
0.1433	1000	0	0.098	0.902	0	
0.1434	1000	0	0.111	0.889	0	
0.1435	1000	0	0.098	0.902	0	
0.1436	1000	0	0.101	0.899	0	
0.1437	1000	0	0.103	0.897	0	
0.1438	1000	0	0.127	0.873	0	
0.1439	1000	0	0.094	0.906	0	
0.144	1000	0	0.126	0.874	0	
0.1441	1000	0	0.121	0.879	0	
0.1442	1000	0	0.104	0.896	0	
0.1443	1000	0	0.108	0.892	0	
0.1444	1000	0	0.114	0.886	0	
0.1445	1000	0	0.116	0.884	0	
0.1446	1000	0	0.113	0.887	0	
0.1447	1000	0	0.105	0.895	0	
0.1448	1000	0	0.131	0.869	0	
0.1449	1000	0	0.11	0.89	0	
0.145	1000	0	0.106	0.894	0	
0.1451	1000	0	0.098	0.902	0	
0.1452	1000	0	0.111	0.889	0	
0.1453	1000	0	0.121	0.879	0	
0.1454	1000	0	0.108	0.892	0	
0.1455	1000	0	0.104	0.896	0	
0.1456	1000	0	0.114	0.886	0	
0.1457	1000	0	0.106	0.894	0	
0.1458	1000	0	0.109	0.891	0	
0.1459	1000	0	0.121	0.879	0	
0.146	1000	0	0.122	0.878	0	
0.1461	1000	0	0.121	0.879	0	
0.1462	1000	0	0.11	0.89	0	
0.1463	1000	0	0.119	0.881	0	
0.1464	1000	0	0.118	0.882	0	
0.1465	1000	0	0.1	0.9	0	
0.1466	1000	0	0.112	0.888	0	
0.1467	1000	0	0.104	0.896	0	
0.1468	1000	0	0.109	0.891	0	
0.1469	1000	0	0.1	0.9	0	
0.147	1000	0	0.105	0.895	0	
0.1471	1000	0	0.121	0.879	0	
0.1472	1000	0	0.111	0.889	0	
0.1473	1000	0	0.116	0.884	0	
0.1474	1000	0	0.117	0.883	0	
0.1475	1000	0	0.102	0.898	0	
0.1476	1000	0	0.104	0.896	0	
0.1477	1000	0	0.145	0.855	0	
0.1478	1000	0	0.089	0.911	0	
0.1479	1000	0	0.119	0.881	0	
0.148	1000	0	0.118	0.882	0	
0.1481	1000	0	0.111	0.889	0	
0.1482	1000	0	0.123	0.877	0	
0.1483	1000	0	0.096	0.904	0	
0.1484	1000	0	0.112	0.888	0	
0.1485	1000	0	0.119	0.881	0	
0.1486	1000	0	0.101	0.899	0	
0.1487	1000	0	0.106	0.894	0	
0.1488	1000	0	0.108	0.892	0	
0.1489	1000	0	0.115	0.885	0	
0.149	1000	0	0.128	0.872	0	
0.1491	1000	0	0.127	0.873	0	
0.1492	1000	0	0.108	0.892	0	
0.1493	1000	0	0.102	0.898	0	
0.1494	1000	0	0.116	0.884	0	
0.1495	1000	0	0.114	0.886	0	
0.1496	1000	0	0.108	0.892	0	
0.1497	1000	0	0.086	0.914	0	
0.1498	1000	0	0.1	0.9	0	
0.1499	1000	0	0.116	0.884	0	
0.15	1000	0	0.116	0.884	0	
0.1501	1000	0	0.111	0.889	0	
0.1502	1000	0	0.11	0.89	0	
0.1503	1000	0	0.103	0.897	0	
0.1504	1000	0	0.095	0.905	0	
0.1505	1000	0	0.105	0.895	0	
0.1506	1000	0	0.124	0.876	0	
0.1507	1000	0	0.109	0.891	0	
0.1508	1000	0	0.103	0.897	0	
0.1509	1000	0	0.106	0.894	0	
0.151	1000	0	0.128	0.872	0	
0.1511	1000	0	0.126	0.874	0	
0.1512	1000	0	0.124	0.876	0	
0.1513	1000	0	0.134	0.866	0	
0.1514	1000	0	0.116	0.884	0	
0.1515	1000	0	0.123	0.877	0	
0.1516	1000	0	0.119	0.881	0	
0.1517	1000	0	0.122	0.878	0	
0.1518	1000	0	0.11	0.89	0	
0.1519	1000	0	0.102	0.898	0	
0.152	1000	0	0.111	0.889	0	
0.1521	1000	0	0.115	0.885	0	
0.1522	1000	0	0.104	0.896	0	
0.1523	1000	0	0.104	0.896	0	
0.1524	1000	0	0.105	0.895	0	
0.1525	1000	0	0.118	0.882	0	
0.1526	1000	0	0.109	0.891	0	
0.1527	1000	0	0.106	0.894	0	
0.1528	1000	0	0.114	0.886	0	
0.1529	1000	0	0.133	0.867	0	
0.153	1000	0	0.104	0.896	0	
0.1531	1000	0	0.125	0.875	0	
0.1532	1000	0	0.116	0.884	0	
0.1533	1000	0	0.114	0.886	0	
0.1534	1000	0	0.118	0.882	0	
0.1535	1000	0	0.105	0.895	0	
0.1536	1000	0	0.112	0.888	0	
0.1537	1000	0	0.115	0.885	0	
0.1538	1000	0	0.114	0.886	0	
0.1539	1000	0	0.119	0.881	0	
0.154	1000	0	0.113	0.887	0	
0.1541	1000	0	0.133	0.867	0	
0.1542	1000	0	0.116	0.884	0	
0.1543	1000	0	0.125	0.875	0	
0.1544	1000	0	0.122	0.878	0	
0.1545	1000	0	0.118	0.882	0	
0.1546	1000	0	0.129	0.871	0	
0.1547	1000	0	0.117	0.883	0	
0.1548	1000	0	0.121	0.879	0	
0.1549	1000	0	0.12	0.88	0	
0.155	1000	0	0.12	0.88	0	
0.1551	1000	0	0.101	0.899	0	
0.1552	1000	0	0.118	0.882	0	
0.1553	1000	0	0.125	0.875	0	
0.1554	1000	0	0.11	0.89	0	
0.1555	1000	0	0.112	0.888	0	
0.1556	1000	0	0.105	0.895	0	
0.1557	1000	0	0.105	0.895	0	
0.1558	1000	0	0.113	0.887	0	
0.1559	1000	0	0.136	0.864	0	
0.156	1000	0	0.114	0.886	0	
0.1561	1000	0	0.109	0.891	0	
0.1562	1000	0	0.114	0.886	0	
0.1563	1000	0	0.101	0.899	0	
0.1564	1000	0	0.106	0.894	0	
0.1565	1000	0	0.111	0.889	0	
0.1566	1000	0	0.122	0.878	0	
0.1567	1000	0	0.129	0.871	0	
0.1568	1000	0	0.103	0.897	0	
0.1569	1000	0	0.121	0.879	0	
0.157	1000	0	0.103	0.897	0	
0.1571	1000	0	0.125	0.875	0	
0.1572	1000	0	0.128	0.872	0	
0.1573	1000	0	0.139	0.861	0	
0.1574	1000	0	0.124	0.876	0	
0.1575	1000	0	0.112	0.888	0	
0.1576	1000	0	0.105	0.895	0	
0.1577	1000	0	0.103	0.897	0	
0.1578	1000	0	0.125	0.875	0	
0.1579	1000	0	0.1	0.9	0	
0.158	1000	0	0.116	0.884	0	
0.1581	1000	0	0.108	0.892	0	
0.1582	1000	0	0.12	0.88	0	
0.1583	1000	0	0.113	0.887	0	
0.1584	1000	0	0.118	0.882	0	
0.1585	1000	0	0.119	0.881	0	
0.1586	1000	0	0.125	0.875	0	
0.1587	1000	0	0.119	0.881	0	
0.1588	1000	0	0.132	0.868	0	
0.1589	1000	0	0.117	0.883	0	
0.159	1000	0	0.123	0.877	0	
0.1591	1000	0	0.111	0.889	0	
0.1592	1000	0	0.112	0.888	0	
0.1593	1000	0	0.089	0.911	0	
0.1594	1000	0	0.124	0.876	0	
0.1595	1000	0	0.116	0.884	0	
0.1596	1000	0	0.113	0.887	0	
0.1597	1000	0	0.092	0.908	0	
0.1598	1000	0	0.12	0.88	0	
0.1599	1000	0	0.125	0.875	0	
0.16	1000	0	0.114	0.886	0	
0.1601	1000	0	0.114	0.886	0	
0.1602	1000	0	0.126	0.874	0	
0.1603	1000	0	0.134	0.866	0	
0.1604	1000	0	0.109	0.891	0	
0.1605	1000	0	0.125	0.875	0	
0.1606	1000	0	0.12	0.88	0	
0.1607	1000	0	0.127	0.873	0	
0.1608	1000	0	0.101	0.899	0	
0.1609	1000	0	0.102	0.898	0	
0.161	1000	0	0.114	0.886	0	
0.1611	1000	0	0.107	0.893	0	
0.1612	1000	0	0.098	0.902	0	
0.1613	1000	0	0.101	0.899	0	
0.1614	1000	0	0.128	0.872	0	
0.1615	1000	0	0.126	0.874	0	
0.1616	1000	0	0.122	0.878	0	
0.1617	1000	0	0.112	0.888	0	
0.1618	1000	0	0.119	0.881	0	
0.1619	1000	0	0.121	0.879	0	
0.162	1000	0	0.113	0.887	0	
0.1621	1000	0	0.115	0.885	0	
0.1622	1000	0	0.111	0.889	0	
0.1623	1000	0	0.123	0.877	0	
0.1624	1000	0	0.118	0.882	0	
0.1625	1000	0	0.12	0.88	0	
0.1626	1000	0	0.122	0.878	0	
0.1627	1000	0	0.124	0.876	0	
0.1628	1000	0	0.102	0.898	0	
0.1629	1000	0	0.098	0.902	0	
0.163	1000	0	0.121	0.879	0	
0.1631	1000	0	0.113	0.887	0	
0.1632	1000	0	0.104	0.896	0	
0.1633	1000	0	0.104	0.896	0	
0.1634	1000	0	0.122	0.878	0	
0.1635	1000	0	0.106	0.894	0	
0.1636	1000	0	0.126	0.874	0	
0.1637	1000	0	0.11	0.89	0	
0.1638	1000	0	0.118	0.882	0	
0.1639	1000	0	0.111	0.889	0	
0.164	1000	0	0.121	0.879	0	
0.1641	1000	0	0.123	0.877	0	
0.1642	1000	0	0.112	0.888	0	
0.1643	1000	0	0.11	0.89	0	
0.1644	1000	0	0.108	0.892	0	
0.1645	1000	0	0.105	0.895	0	
0.1646	1000	0	0.102	0.898	0	
0.1647	1000	0	0.134	0.866	0	
0.1648	1000	0	0.112	0.888	0	
0.1649	1000	0	0.101	0.899	0	
0.165	1000	0	0.109	0.891	0	
0.1651	1000	0	0.111	0.889	0	
0.1652	1000	0	0.127	0.873	0	
0.1653	1000	0	0.111	0.889	0	
0.1654	1000	0	0.121	0.879	0	
0.1655	1000	0	0.115	0.885	0	
0.1656	1000	0	0.118	0.882	0	
0.1657	1000	0	0.122	0.878	0	
0.1658	1000	0	0.095	0.905	0	
0.1659	1000	0	0.107	0.893	0	
0.166	1000	0	0.109	0.891	0	
0.1661	1000	0	0.13	0.87	0	
0.1662	1000	0	0.134	0.866	0	
0.1663	1000	0	0.147	0.853	0	
0.1664	1000	0	0.112	0.888	0	
0.1665	1000	0	0.118	0.882	0	
0.1666	1000	0	0.113	0.887	0	
0.1667	1000	0	0.117	0.883	0	
0.1668	1000	0	0.133	0.867	0	
0.1669	1000	0	0.111	0.889	0	
0.167	1000	0	0.132	0.868	0	
0.1671	1000	0	0.135	0.865	0	
0.1672	1000	0	0.143	0.857	0	
0.1673	1000	0	0.126	0.874	0	
0.1674	1000	0	0.131	0.869	0	
0.1675	1000	0	0.132	0.868	0	
0.1676	1000	0	0.116	0.884	0	
0.1677	1000	0	0.122	0.878	0	
0.1678	1000	0	0.117	0.883	0	
0.1679	1000	0	0.128	0.872	0	
0.168	1000	0	0.128	0.872	0	
0.1681	1000	0	0.129	0.871	0	
0.1682	1000	0	0.111	0.889	0	
